ENG 	104 	00 INTRO TO LITERATURE
MTH 	112 	00 ELEMENTARY FUNCTIONS
MTH 	251 	00 DIFFERENTIAL CALCULUS
MTH 	252 	00 INTEGRAL CALCULUS
PH 	201 	00 GENERAL PHYSICS
PH 	202 	00 GENERAL PHYSICS
PH 	203 	00 GENERAL PHYSICS
WR 	115 	00 INTRO TO EXPOSITORY WRITING
WR 	121 	00 ENGLISH COMPOSITION
CH 	201 	01 	CHEMISTRY FOR ENGINEERING MAJ
ENGR 	111 	01 	ENGINEERING ORIENTATION
FR 	211 	01 	SECOND-YEAR FRENCH
MTH 	254 	01 	VECTOR CALCULUS
CH 	202 	01 	CHEMISTRY: ENGINEERING MAJORS
CH 	205 	01 	LABORATORY FOR CH 202
ENG 	208 	01 	LIT OF WESTERN CIV: REN-REAS
ENGR 	248 	01 	ENGIN GRAPHICS & 3-D MODELING
HHS 	231 	01 	LIFETIME FITNESS FOR HEALTH
HHS 	243 	01 	LIFE FIT: RESISTANCE TRAINING
MTH 	306 	01 	MATRIX & POWER SERIES METHODS
ECON 	202 	01 	INTRO TO MACROECONOMICS
ENGR 	112 	01 	ENGINEERING ORIENTATION II
HST 	201 	01 	HISTORY OF THE UNITED STATES
MTH 	256 	01 	APPLIED DIFFERENTIAL EQUATIONS
PH 	211 	01 	GENERAL PHYSICS WITH CALCULUS
BI 	101 	01 	GENERAL BIOLOGY
COMM 	111 	01 	PUBLIC SPEAKING
ENGR 	201 	01 	ELECTRICAL FUNDAMENTALS I
ENGR 	211 	01 	STATICS
PH 	212 	01 	GENERAL PHYSICS WITH CALCULUS
ANTH 	210 	01 	COMPARATIVE CULTURES
ENGR 	202 	01 	ELECTRICAL FUNDAMENTALS II
ENGR 	213 	01 	STRENGTH OF MATERIALS
PH 	213 	01 	GENERAL PHYSICS WITH CALCULUS
WR 	327 	01 	TECHNICAL WRITING
ENGR 	212 	01 	DYNAMICS
ENGR 	390 	01 	ENGINEERING ECONOMY
HST 	385 	01 	THE ARAB-ISRAELI CONFLICT
ME 	250 	01 	INTRO TO MANUFACTURING PROCESS
PH 	313 	01 	ENERGY ALTERNATIVES
ST 	314 	01 	INTRO TO STATS FOR ENGINEERS
ENGR 	321 	01 	MATERIALS SCIENCE
ENGR 	407 	01 	SEM/MECOP/ME/EP
ME 	311 	01 	INTRO TO THERMAL-FLUID SCIENCE
ME 	316 	01 	MECHANICS OF MATERIALS
ME 	382 	01 	INTRODUCTION TO DESIGN
PH 	314 	01 	INTRODUCTORY MODERN PHYSICS
ME 	317 	01 	Intermediate Dynamics
ME 	331 	01 	INTRODUCTORY FLUID MECHANICS
ME 	373 	01 	MECHANICAL ENGINEERING METHODS
ME 	383 	01 	MECHANICAL COMPONENT DESIGN
MTH 	255 	01 	VECTOR CALCULUS II
ME 	332 	01 	HEAT TRANSFER
ME 	430 	01 	SYSTEMS DYNAMICS AND CONTROL
ME 	451 	01 	INTRO TO MEASUREMENT SYSTEMS
ME 	460 	01 	INTERMEDIATE FLUID MECHANICS
ENGR 	322 	01 	MECH PROPERTIES MATERIALS
ME 	312 	01 	THERMODYNAMICS
MTH 	231 	01 	ELEMENTS DISCRETE MATH
MUS 	185 	01 	VOICE CLASS
ME 	420 	01 	APPLIED STRESS ANALYSIS
ME 	497 	01 	MIME CAPSTONE DESIGN
ME 	581 	01 	THERMODYNAMICS OF SOLIDS
ME 	452 	01 	THERMAL & FLUIDS SCIENCES LAB
ME 	498 	01 	MIME CAPSTONE DESIGN
